index,score
6,0.9
7,0.0
8,0.9
9,0.6
10,0.7
11,0.3
12,0.7
13,0.0
14,0.3
15,0.3
16,0.6
35,0.7
36,0.4
37,0.6
38,0.0
39,0.6
40,0.6
41,1.0
42,0.0
43,0.0
44,0.0
45,0.3
46,0.6
47,0.7
48,0.3
49,0.0
50,0.6
51,0.0
52,0.3
59,0.6
60,0.0
61,0.4
62,0.9
63,0.7
64,0.3
65,0.3
66,0.0
67,0.9
68,0.6
69,0.9
70,0.3
77,0.0
78,0.2
79,0.9
80,0.6
81,0.0
82,0.6
95,0.6
96,0.0
97,0.7
98,0.6
99,0.6
109,0.0
110,0.0
111,0.3
112,0.0
113,0.6
126,0.3
127,0.0
128,0.2
129,0.6
130,0.9
131,0.6
132,0.9
133,0.3
134,0.0
135,0.4
136,0.9
137,0.6
138,0.6
139,0.6
140,0.7
141,0.0
142,0.0
143,0.3
168,0.0
169,0.9
170,0.9
171,0.6
172,0.9
173,0.7
174,0.0
175,0.7
176,0.0
177,0.9
178,0.6
213,0.7
214,0.9
215,0.6
216,0.6
217,0.6
234,0.6
235,0.9
236,1.0
237,0.6
238,0.0
239,0.6
246,0.3
247,0.7
248,0.3
249,1.0
250,0.9
251,0.6
270,0.6
271,0.3
272,0.9
273,0.7
274,0.6
275,0.7
276,1.0
277,0.0
278,0.0
279,0.9
280,0.9
281,0.6
300,0.3
301,0.2
302,0.7
303,0.0
304,0.6
305,0.2
312,0.9
313,0.6
314,0.0
315,0.4
316,0.0
317,0.3
342,1.0
343,0.6
344,0.0
345,0.6
346,0.6
347,0.3
366,0.7
367,0.9
368,0.6
369,0.9
370,0.6
371,0.6
384,0.9
385,0.2
386,0.9
387,0.3
388,0.7
389,0.6
454,0.9
455,0.9
456,0.0
457,0.0
458,0.0
459,0.6
466,0.2
467,0.3
468,0.9
469,0.2
470,0.3
471,0.6
472,0.3
473,0.6
474,0.6
475,0.3
482,0.3
483,0.0
484,0.6
485,0.0
486,0.3
497,1.0
498,0.9
499,0.3
500,0.6
501,0.9
502,0.7
503,0.9
504,0.9
505,0.3
506,0.3
507,0.6
525,1.0
526,0.6
527,0.7
528,0.0
529,0.0
530,0.3
537,0.7
538,0.6
539,0.9
540,0.6
541,0.9
542,0.6
543,0.6
544,0.0
545,0.2
546,0.6
547,0.6
548,0.3
572,0.9
573,0.7
574,0.9
575,0.0
576,0.9
577,0.3
