index,score
11,0.6
12,0.3
13,0.9
14,0.0
15,0.0
16,0.6
35,0.7
36,0.6
37,0.6
38,0.0
39,0.6
40,0.6
17,0.0
18,0.3
19,0.0
20,0.3
21,0.0
22,0.3
6,0.7
7,0.0
8,0.9
9,0.6
10,0.6
0,0.5
1,0.0
2,0.7
3,0.0
4,0.9
5,0.6
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.3
29,0.2
30,0.6
31,0.3
32,0.7
33,0.6
34,0.6
59,0.0
60,0.0
61,0.3
62,0.9
63,0.6
64,0.0
47,0.6
48,0.3
49,0.9
50,0.6
51,0.0
52,0.3
41,1.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.6
53,0.0
54,0.0
55,0.6
56,0.6
57,0.3
58,0.3
77,0.3
78,0.2
79,0.9
80,0.9
81,0.0
82,0.7
65,0.3
66,0.0
67,0.9
68,0.6
69,0.9
70,0.6
71,0.0
72,1.0
73,0.0
74,0.0
75,0.3
76,0.3
95,0.2
96,0.9
97,0.6
98,0.6
99,0.7
89,0.3
90,0.0
91,0.6
92,1.0
93,0.7
94,0.3
83,0.0
84,0.0
85,0.0
86,0.6
87,1.0
88,0.6
105,0.9
106,0.0
107,1.0
108,0.6
100,0.3
101,0.0
102,0.0
103,0.0
104,0.2
109,0.0
110,0.3
111,0.4
112,0.5
113,0.6
114,0.0
115,0.5
116,0.0
117,0.0
118,0.7
119,0.3
120,0.3
121,0.3
122,0.7
123,0.0
124,0.3
125,0.3
138,0.6
139,0.3
140,0.6
141,0.0
142,0.0
143,0.3
132,1.0
133,0.0
134,0.0
135,0.4
136,0.9
137,0.6
144,1.0
145,0.7
146,0.7
147,0.7
148,0.2
149,0.6
126,0.6
127,0.0
128,0.3
129,0.0
130,1.0
131,0.7
150,0.0
151,0.3
152,0.5
153,0.4
154,0.6
155,0.3
162,0.0
163,0.3
164,0.0
165,0.4
166,0.6
167,0.3
156,0.6
157,0.4
158,0.7
159,0.6
160,0.7
161,0.6
168,0.3
169,0.6
170,0.9
171,0.6
172,0.3
173,0.6
174,0.9
175,0.9
176,0.4
177,0.3
178,0.7
185,0.6
186,0.3
187,0.9
188,0.9
189,0.6
195,0.0
196,0.6
197,0.8
198,0.0
199,0.0
200,0.3
