index,score
6,0.0
7,0.0
8,0.0
9,0.0
10,0.3
0,0.0
1,0.0
2,0.0
3,0.9
4,0.0
5,0.6
17,0.0
18,0.2
19,0.0
20,0.9
21,0.3
22,0.3
11,0.7
12,0.3
13,0.9
14,0.0
15,0.3
16,0.6
35,0.0
36,0.6
37,0.0
38,0.9
39,0.6
40,0.6
41,0.0
42,0.0
43,0.9
44,0.2
45,0.0
46,0.3
29,0.7
30,0.6
31,0.3
32,0.9
33,0.9
34,0.6
23,0.2
24,0.3
25,0.7
26,0.6
27,0.0
28,0.7
47,0.6
48,0.0
49,0.9
50,0.6
51,0.0
52,0.3
53,0.0
54,0.0
55,0.3
56,0.6
57,0.3
58,0.6
59,1.0
60,0.0
61,0.3
62,0.9
63,0.6
64,0.3
65,0.6
66,0.0
67,0.7
68,0.0
69,1.0
70,0.3
77,0.3
78,0.3
79,0.0
80,0.6
81,0.0
82,0.6
71,0.0
72,0.7
73,0.3
74,0.0
75,0.2
76,0.3
89,0.3
90,0.0
91,0.7
92,0.9
93,0.6
94,0.3
95,0.0
96,0.9
97,0.7
98,0.0
99,0.3
100,0.2
101,0.7
102,0.0
103,0.9
104,0.4
105,0.9
106,0.8
107,0.7
108,0.6
114,0.0
115,0.7
116,0.9
117,0.0
118,0.0
119,0.6
83,0.0
84,0.7
85,0.7
86,0.6
87,0.9
88,0.7
126,0.6
127,0.0
128,0.0
129,0.6
130,0.6
131,0.3
109,0.0
110,0.3
111,0.3
112,0.0
113,0.3
144,1.0
145,0.9
146,0.0
147,0.9
148,0.3
149,0.6
138,0.4
139,0.6
140,0.2
141,0.3
142,0.3
143,0.6
120,0.0
121,0.3
122,0.7
123,0.9
124,0.3
125,0.6
156,0.9
157,0.2
158,0.0
159,0.7
160,0.7
161,0.6
162,0.0
163,0.3
164,0.0
165,0.3
166,0.6
167,0.3
132,0.6
133,0.0
134,0.0
135,0.6
136,0.9
137,0.3
150,0.0
151,0.6
152,0.0
153,0.6
154,0.6
155,0.6
168,0.0
169,0.7
170,0.7
171,0.6
172,0.9
173,0.6
174,0.0
175,0.3
176,0.2
177,0.0
178,0.3
185,0.2
186,0.6
187,0.6
188,0.0
189,0.3
190,0.0
191,0.3
192,0.3
193,0.2
194,0.3
201,0.7
202,0.3
203,0.9
204,0.0
205,0.6
206,0.6
207,0.7
208,0.9
209,0.7
210,0.9
211,0.3
212,0.7
218,0.3
219,0.0
220,0.9
221,0.6
222,0.0
223,0.6
179,0.3
180,0.6
181,0.9
182,0.0
183,0.9
184,0.2
224,0.2
225,0.7
226,0.6
227,0.6
228,0.6
229,0.0
230,0.0
231,0.6
232,0.7
233,0.6
213,0.6
214,0.9
215,0.0
216,0.6
217,0.6
240,0.7
241,0.0
242,0.0
243,0.0
244,0.9
245,0.6
246,0.2
247,0.3
248,0.0
249,0.9
250,0.6
251,0.6
234,0.0
235,0.9
236,0.0
237,0.6
238,0.0
239,0.3
258,0.0
259,0.7
260,0.9
261,0.9
262,0.6
263,0.6
264,0.0
265,0.9
266,0.9
267,0.6
268,0.0
269,0.3
252,0.6
253,0.6
254,0.6
255,0.6
256,0.6
257,0.6
276,0.3
277,0.0
278,0.9
279,0.7
280,0.7
281,0.6
288,0.6
289,0.3
290,0.3
291,0.3
292,0.0
293,0.3
270,0.0
271,0.3
272,0.6
273,0.9
274,0.3
275,0.6
294,0.5
295,0.9
296,0.0
297,0.6
298,0.6
299,0.3
306,0.2
307,0.0
308,0.0
309,0.6
310,0.0
311,0.2
282,0.6
283,0.0
284,0.6
285,0.3
286,0.0
287,0.3
324,0.0
325,0.0
326,0.6
327,0.2
328,0.0
329,0.3
300,0.3
301,0.0
302,0.5
303,0.2
304,0.3
305,0.3
312,0.6
313,0.9
314,0.0
315,0.6
316,0.6
317,0.3
336,0.7
337,0.0
338,0.0
339,0.0
340,0.2
341,0.6
330,0.6
331,0.3
332,0.6
333,0.0
334,0.0
335,0.6
318,0.0
319,0.6
320,0.5
321,0.0
322,0.0
323,0.3
348,0.0
349,0.0
350,0.3
351,0.7
352,0.0
353,0.3
342,0.7
343,0.6
344,0.0
345,0.6
346,0.3
347,0.3
360,0.3
361,0.0
362,0.7
363,0.0
364,0.0
365,0.3
354,0.9
355,0.0
356,0.3
357,0.3
358,0.0
359,0.6
372,0.0
373,0.0
374,0.7
375,0.6
376,0.0
377,0.6
390,0.2
391,0.3
392,0.0
393,0.6
394,0.0
395,0.6
378,0.3
379,0.7
380,0.0
381,0.3
382,0.9
383,0.3
366,0.6
367,0.6
368,0.6
369,0.9
370,0.6
371,0.3
402,0.9
403,0.4
404,1.0
405,0.3
406,0.7
407,0.3
408,0.3
409,0.3
410,0.0
411,0.2
412,0.6
413,0.3
384,0.2
385,0.0
386,1.0
387,0.7
388,0.0
389,0.6
414,0.2
415,0.9
416,0.0
417,0.0
418,0.9
419,0.3
420,0.0
421,0.3
422,0.0
423,0.3
424,0.6
425,0.6
426,0.0
427,0.0
428,0.3
429,0.9
430,0.3
437,0.6
438,0.0
439,0.6
440,0.6
441,0.3
431,0.6
432,0.0
433,0.3
434,0.0
435,0.0
436,0.6
448,0.7
449,0.2
450,0.0
451,0.9
452,0.0
453,0.6
396,0.0
397,0.3
398,0.3
399,0.3
400,0.6
401,0.6
442,0.2
443,0.0
444,1.0
445,0.0
446,0.9
447,0.6
466,0.8
467,0.0
468,0.7
469,0.0
470,0.3
454,0.6
455,0.9
456,0.3
457,0.0
458,0.0
459,0.6
460,0.6
461,0.2
462,0.6
463,0.2
464,0.0
465,0.6
476,0.6
477,0.2
478,0.6
479,0.9
480,0.0
481,0.6
493,0.0
494,0.0
495,0.7
496,0.3
487,0.9
488,0.7
489,0.9
490,0.0
491,0.0
492,0.6
482,0.0
483,0.6
484,0.9
485,0.0
486,0.3
471,0.6
472,0.6
473,0.6
474,0.9
475,0.6
508,0.6
509,0.6
510,0.2
511,0.0
512,0.6
513,0.6
497,0.7
498,0.6
499,0.7
500,0.6
501,0.9
502,0.7
514,0.0
515,0.6
516,0.9
517,0.6
518,0.6
519,0.6
531,0.0
532,0.0
533,0.0
534,0.7
535,0.0
536,0.3
520,0.8
521,0.9
522,0.0
523,0.6
524,0.6
503,0.9
504,0.9
505,0.9
506,0.3
507,0.9
537,0.4
538,0.7
539,0.9
540,0.7
541,0.9
542,0.6
549,0.3
550,0.0
551,0.3
552,0.0
553,0.3
554,0.6
555,0.6
556,0.9
557,0.2
558,0.6
559,0.0
560,0.6
543,0.3
544,0.4
545,0.2
546,0.6
547,0.6
548,0.6
572,0.6
573,0.6
574,0.0
575,0.0
576,0.6
577,0.3
561,0.6
562,0.6
563,0.6
564,0.6
565,0.6
566,0.7
567,0.3
568,0.0
569,0.6
570,0.6
571,0.6
195,0.6
196,0.0
197,0.0
198,0.2
199,0.0
200,0.6
525,0.0
526,0.3
527,0.7
528,0.2
529,0.0
530,0.2
