index,score
6,0.0
7,0.0
8,0.0
9,0.2
10,0.3
41,0.7
42,0.0
43,0.0
44,0.0
45,0.0
46,0.3
23,0.0
24,0.0
25,0.3
26,0.3
27,0.7
28,0.6
17,1.0
18,0.7
19,0.0
20,0.9
21,0.0
22,0.6
11,0.6
12,0.6
13,0.9
14,0.2
15,0.6
16,0.6
29,0.6
30,0.6
31,0.3
32,0.9
33,0.7
34,0.9
35,0.9
36,0.6
37,0.7
38,0.0
39,0.6
40,0.6
0,0.3
1,0.0
2,0.4
3,0.0
4,0.6
5,0.6
65,0.3
66,0.0
67,0.6
68,0.0
69,0.9
70,0.3
83,0.0
84,0.0
85,0.6
86,0.4
87,1.0
88,0.7
71,0.0
72,0.9
73,0.3
74,0.0
75,0.6
76,0.3
47,0.6
48,0.0
49,0.0
50,0.3
51,0.0
52,0.3
53,0.7
54,0.3
55,0.9
56,0.3
57,0.6
58,0.6
59,0.7
60,0.3
61,0.6
62,0.7
63,0.6
64,0.6
89,0.6
90,0.0
91,0.6
92,1.0
93,0.7
94,0.6
105,0.9
106,0.2
107,1.0
108,0.7
95,0.6
96,0.9
97,0.0
98,0.2
99,0.3
100,0.3
101,0.0
102,0.9
103,0.7
104,0.6
109,0.0
110,0.0
111,0.4
112,0.0
113,0.3
120,0.0
121,0.3
122,0.6
123,0.3
124,0.3
125,0.4
114,0.0
115,0.9
116,0.9
117,0.0
118,0.7
119,0.6
138,0.6
139,0.6
140,0.6
141,0.0
142,0.3
143,0.6
77,0.0
78,0.3
79,0.0
80,0.7
81,0.0
82,0.6
132,0.9
133,0.0
134,0.6
135,0.3
136,0.9
137,0.6
150,0.0
151,0.8
152,0.0
153,0.2
154,0.6
155,0.6
126,0.6
127,0.6
128,0.7
129,0.2
130,0.6
131,0.6
162,0.0
163,0.3
164,0.7
165,0.2
166,0.6
167,0.6
156,0.3
157,0.0
158,0.0
159,0.9
160,0.7
161,0.6
144,0.0
145,0.9
146,0.6
147,0.9
148,0.7
149,0.6
168,0.2
169,0.9
170,0.3
171,0.3
172,0.7
173,0.6
174,0.0
175,0.9
176,0.6
177,0.7
178,0.7
185,0.6
186,0.6
187,0.9
188,0.9
189,0.6
190,0.0
191,0.6
192,0.4
193,0.3
194,0.3
179,0.0
180,0.3
181,0.6
182,0.3
183,0.9
184,0.3
201,0.9
202,0.0
203,0.6
204,0.3
205,0.2
206,0.6
207,0.0
208,0.7
209,0.4
210,0.3
211,0.6
212,0.7
195,0.6
196,0.0
197,0.9
198,0.0
199,0.6
200,0.6
224,0.6
225,0.0
226,0.3
227,0.6
213,0.0
214,0.9
215,0.0
216,0.6
217,0.6
218,0.6
219,0.0
220,0.0
221,0.4
222,0.0
223,0.6
234,0.7
235,0.9
236,0.5
237,0.3
238,0.2
239,0.6
246,0.7
247,0.3
248,0.6
249,0.9
250,0.7
251,0.6
228,0.3
229,0.0
230,0.6
231,0.6
232,0.9
233,0.6
240,0.6
241,0.9
242,0.6
243,0.7
244,0.7
245,0.7
252,0.6
253,0.6
254,0.7
255,0.3
256,0.7
257,0.6
276,0.6
277,0.0
278,0.9
279,0.3
280,0.7
281,0.6
264,0.2
265,0.0
266,0.9
267,0.6
268,0.0
269,0.3
270,0.2
271,0.0
272,0.9
273,0.7
274,0.0
275,0.6
258,0.0
259,0.9
260,0.0
261,0.9
262,0.6
263,0.6
300,0.3
301,0.6
302,0.6
303,0.0
304,0.6
305,0.2
294,0.0
295,0.7
296,0.2
297,0.6
298,0.0
299,0.3
312,0.9
313,0.7
314,0.0
315,0.6
316,0.0
317,0.3
288,0.3
289,0.6
290,0.3
291,0.5
292,0.6
293,0.6
282,0.6
283,0.6
284,0.7
285,0.9
286,0.0
287,0.6
306,0.2
307,0.3
308,0.3
309,0.6
310,0.7
311,0.2
336,0.0
337,0.0
338,0.9
339,0.7
340,0.9
341,0.7
330,0.6
331,0.6
332,0.6
333,0.3
334,0.3
335,0.7
318,0.7
319,0.6
320,0.7
321,0.0
322,0.0
323,0.3
324,0.7
325,0.9
326,0.0
327,0.7
328,0.2
329,0.6
354,1.0
355,0.2
356,0.3
357,0.2
358,0.2
359,0.6
348,0.0
349,0.0
350,0.6
351,0.9
352,0.0
353,0.6
366,0.9
367,0.6
368,0.6
369,0.9
370,0.6
371,0.6
342,0.9
343,0.6
344,0.0
345,0.6
346,0.9
347,0.6
372,0.9
373,0.0
374,0.9
375,0.6
376,0.3
377,0.6
360,0.7
361,0.9
362,0.9
363,0.0
364,0.0
365,0.6
378,0.0
379,0.2
380,0.0
381,0.9
382,0.7
383,0.3
384,0.9
385,0.3
386,0.9
387,0.6
388,0.0
389,0.6
390,0.6
391,0.0
392,0.3
393,0.6
394,0.0
395,0.6
396,0.0
397,0.3
398,0.4
399,0.3
400,0.6
401,0.6
402,0.9
403,0.7
404,1.0
405,0.9
406,0.9
407,0.6
420,0.0
421,0.6
422,0.0
423,0.0
424,0.6
425,0.3
414,0.0
415,0.7
416,0.0
417,0.0
418,0.9
419,0.3
431,0.6
432,0.0
433,0.0
434,0.9
435,0.6
436,0.6
437,0.7
438,0.0
439,0.7
440,0.3
441,0.6
426,0.6
427,0.0
428,0.3
429,0.6
430,0.7
408,0.7
409,0.2
410,0.0
411,0.3
412,0.9
413,0.6
442,0.0
443,0.6
444,0.9
445,0.3
446,0.3
447,0.6
460,0.6
461,0.0
462,0.3
463,0.3
464,0.9
465,0.6
448,0.3
449,0.0
450,0.9
451,1.0
452,0.0
453,0.3
454,0.6
455,0.0
456,0.7
457,0.0
458,0.3
459,0.6
471,0.9
472,0.6
473,0.6
474,0.9
475,0.6
466,0.8
467,0.0
468,0.9
469,0.0
470,0.6
482,0.3
483,0.0
484,0.3
485,0.0
486,0.4
487,0.9
488,0.4
489,0.7
490,0.9
491,0.0
492,0.6
493,0.0
494,0.9
495,0.9
496,0.6
497,0.7
498,0.6
499,0.6
500,0.6
501,0.0
502,0.6
476,0.6
477,0.0
478,0.6
479,0.7
480,0.0
481,0.6
503,0.9
504,0.9
505,0.9
506,0.3
507,0.9
508,0.6
509,0.6
510,0.0
511,0.0
512,0.3
513,0.3
520,0.9
521,0.9
522,0.9
523,0.9
524,0.7
514,0.0
515,0.7
516,0.9
517,0.9
518,0.7
519,0.6
525,0.0
526,0.6
527,0.6
528,0.3
529,0.0
530,0.3
537,0.7
538,0.6
539,0.7
540,0.2
541,0.9
542,0.6
555,0.9
556,0.9
557,0.0
558,0.6
559,0.0
560,0.6
531,0.0
532,0.0
533,0.7
534,0.0
535,0.0
536,0.3
561,0.3
562,0.2
563,0.7
564,0.6
565,0.6
572,0.7
573,0.6
574,0.9
575,0.0
576,1.0
577,0.6
543,0.6
544,0.0
545,0.2
546,0.6
547,0.9
548,0.4
566,0.6
567,0.3
568,0.3
569,0.9
570,0.7
571,0.6
549,0.0
550,0.3
551,0.6
552,0.9
553,0.3
554,0.3
