imgsz,conf,iou,n,exact,within1,mae
1280,0.05,0.3,86,52.325581395348834,79.06976744186046,0.8604651162790697
1280,0.1,0.3,86,52.325581395348834,76.74418604651163,0.9069767441860465
1280,0.15,0.3,86,48.83720930232558,76.74418604651163,0.9534883720930233
1280,0.2,0.3,86,45.348837209302324,74.4186046511628,1.0348837209302326
1280,0.25,0.3,86,43.02325581395349,75.5813953488372,1.058139534883721
1280,0.3,0.3,86,43.02325581395349,74.4186046511628,1.1046511627906976
1280,0.35,0.3,86,43.02325581395349,73.25581395348837,1.1627906976744187
1280,0.4,0.3,86,43.02325581395349,70.93023255813954,1.244186046511628
1280,0.45,0.3,86,40.69767441860465,70.93023255813954,1.2906976744186047
1280,0.5,0.3,86,38.372093023255815,70.93023255813954,1.3604651162790697
1280,0.6,0.3,86,31.3953488372093,68.6046511627907,1.6511627906976745
1280,0.05,0.45,86,68.6046511627907,89.53488372093024,0.5232558139534884
1280,0.1,0.45,86,76.74418604651163,93.02325581395348,0.3953488372093023
1280,0.15,0.45,86,79.06976744186046,93.02325581395348,0.37209302325581395
1280,0.2,0.45,86,77.90697674418605,94.18604651162791,0.37209302325581395
1280,0.25,0.45,86,77.90697674418605,95.34883720930233,0.37209302325581395
1280,0.3,0.45,86,77.90697674418605,95.34883720930233,0.37209302325581395
1280,0.35,0.45,86,76.74418604651163,95.34883720930233,0.4069767441860465
1280,0.4,0.45,86,77.90697674418605,91.86046511627907,0.4418604651162791
1280,0.45,0.45,86,76.74418604651163,91.86046511627907,0.47674418604651164
1280,0.5,0.45,86,75.5813953488372,89.53488372093024,0.5348837209302325
1280,0.6,0.45,86,62.7906976744186,81.3953488372093,0.8837209302325582
1280,0.05,0.6,86,41.86046511627907,73.25581395348837,1.1395348837209303
1280,0.1,0.6,86,61.627906976744185,86.04651162790698,0.6511627906976745
1280,0.15,0.6,86,69.76744186046511,90.69767441860465,0.5116279069767442
1280,0.2,0.6,86,73.25581395348837,90.69767441860465,0.46511627906976744
1280,0.25,0.6,86,74.4186046511628,94.18604651162791,0.4186046511627907
1280,0.3,0.6,86,74.4186046511628,94.18604651162791,0.4186046511627907
1280,0.35,0.6,86,73.25581395348837,94.18604651162791,0.45348837209302323
1280,0.4,0.6,86,74.4186046511628,91.86046511627907,0.47674418604651164
1280,0.45,0.6,86,74.4186046511628,91.86046511627907,0.5
1280,0.5,0.6,86,74.4186046511628,89.53488372093024,0.5465116279069767
1280,0.6,0.6,86,62.7906976744186,81.3953488372093,0.8837209302325582
1280,0.05,0.7,86,5.813953488372093,27.906976744186046,3.395348837209302
1280,0.1,0.7,86,32.55813953488372,63.95348837209303,1.569767441860465
1280,0.15,0.7,86,46.51162790697674,80.23255813953489,0.9302325581395349
1280,0.2,0.7,86,56.97674418604651,86.04651162790698,0.7093023255813954
1280,0.25,0.7,86,66.27906976744185,91.86046511627907,0.5232558139534884
1280,0.3,0.7,86,73.25581395348837,94.18604651162791,0.43023255813953487
1280,0.35,0.7,86,72.09302325581395,94.18604651162791,0.46511627906976744
1280,0.4,0.7,86,72.09302325581395,93.02325581395348,0.4883720930232558
1280,0.45,0.7,86,73.25581395348837,93.02325581395348,0.5
1280,0.5,0.7,86,73.25581395348837,90.69767441860465,0.5465116279069767
1280,0.6,0.7,86,62.7906976744186,82.55813953488372,0.872093023255814
1536,0.05,0.3,86,31.3953488372093,77.90697674418605,1.127906976744186
1536,0.1,0.3,86,33.72093023255814,76.74418604651163,1.1744186046511629
1536,0.15,0.3,86,39.53488372093023,76.74418604651163,1.1395348837209303
1536,0.2,0.3,86,43.02325581395349,74.4186046511628,1.1395348837209303
1536,0.25,0.3,86,41.86046511627907,74.4186046511628,1.1627906976744187
1536,0.3,0.3,86,40.69767441860465,74.4186046511628,1.2093023255813953
1536,0.35,0.3,86,39.53488372093023,74.4186046511628,1.2325581395348837
1536,0.4,0.3,86,40.69767441860465,74.4186046511628,1.244186046511628
1536,0.45,0.3,86,40.69767441860465,73.25581395348837,1.2790697674418605
1536,0.5,0.3,86,39.53488372093023,73.25581395348837,1.3372093023255813
1536,0.6,0.3,86,36.04651162790697,66.27906976744185,1.6046511627906976
1536,0.05,0.45,86,60.46511627906977,94.18604651162791,0.5581395348837209
1536,0.1,0.45,86,68.6046511627907,94.18604651162791,0.47674418604651164
1536,0.15,0.45,86,75.5813953488372,95.34883720930233,0.4069767441860465
1536,0.2,0.45,86,81.3953488372093,94.18604651162791,0.36046511627906974
1536,0.25,0.45,86,80.23255813953489,94.18604651162791,0.38372093023255816
1536,0.3,0.45,86,80.23255813953489,94.18604651162791,0.38372093023255816
1536,0.35,0.45,86,77.90697674418605,94.18604651162791,0.4069767441860465
1536,0.4,0.45,86,79.06976744186046,93.02325581395348,0.4186046511627907
1536,0.45,0.45,86,77.90697674418605,91.86046511627907,0.45348837209302323
1536,0.5,0.45,86,76.74418604651163,91.86046511627907,0.4883720930232558
1536,0.6,0.45,86,70.93023255813954,86.04651162790698,0.6976744186046512
1536,0.05,0.6,86,47.674418604651166,79.06976744186046,0.872093023255814
1536,0.1,0.6,86,59.30232558139535,89.53488372093024,0.6162790697674418
